电影名,导演,上映时间,评分,评论数
本杰明·巴顿奇事,大卫·芬奇 David Fincher,2008,9.0,1103485
搏击俱乐部,大卫·芬奇 David Fincher,1999,9.0,972898
美丽心灵,朗·霍华德 Ron Howard,2001,9.1,852465
穿条纹睡衣的男孩,马克·赫尔曼 Mark Herman,2008,9.2,640905
情书,岩井俊二 Shunji Iwai,1995,8.9,1323589
哈利·波特与死亡圣器(下),大卫·叶茨 David Yates,2011,9.0,969326
两杆大烟枪,盖·里奇 Guy Ritchie,1998,9.1,676883
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck,2006,9.2,631169
音乐之声,罗伯特·怀斯 Robert Wise,1965,9.1,683325
功夫,周星驰 Stephen Chow,2004,8.9,1333857
哈利·波特与阿兹卡班的囚徒,阿方索·卡隆 Alfonso Cuarón,2004,9.0,889708
西西里的美丽传说,朱塞佩·托纳多雷 Giuseppe Tornatore,2000,8.9,1092087
阿凡达,詹姆斯·卡梅隆 James Cameron,2009,8.8,1584463
看不见的客人,奥里奥尔·保罗 Oriol Paulo,2016,8.8,1438884
拯救大兵瑞恩,史蒂文·斯皮尔伯格 Steven Spielberg,1998,9.1,724044
沉默的羔羊,乔纳森·戴米 Jonathan Demme,1991,8.9,1015017
小鞋子,马基德·马基迪 Majid Majidi,1997,9.2,465348
布达佩斯大饭店,韦斯·安德森 Wes Anderson,2014,8.9,1084359
蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,2004,8.9,1066868
飞越疯人院,米洛斯·福尔曼 Miloš Forman,1975,9.1,602986
还有明天,宝拉·柯特莱西 Paola Cortellesi,2023,9.3,369232
禁闭岛,Martin Scorsese,2010,8.9,1111691
心灵捕手,格斯·范·桑特 Gus Van Sant,1997,9.0,814568
致命魔术,克里斯托弗·诺兰 Christopher Nolan,2006,8.9,963550
低俗小说,昆汀·塔伦蒂诺 Quentin Tarantino,1994,8.9,958663
超脱,托尼·凯耶 Tony Kaye,2011,9.0,722624
哈利·波特与密室,Chris Columbus,2002,8.9,916089
一一,杨德昌 Edward Yang,2000,9.1,509306
喜剧之王,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,1999,8.8,1094223
杀人回忆,奉俊昊 Joon-ho Bong,2003,8.9,836799
致命ID,詹姆斯·曼高德 James Mangold,2003,8.9,948401
摩登时代,查理·卓别林 Charles Chaplin,1936,9.3,346779
春光乍泄,王家卫 Kar Wai Wong,1997,9.0,709266
加勒比海盗,戈尔·维宾斯基 Gore Verbinski,2003,8.8,968326
海豚湾,路易·西霍尤斯 Louie Psihoyos,2009,9.3,382394
美国往事,赛尔乔·莱翁内 Sergio Leone,1984,9.1,471671
红辣椒,今敏 Satoshi Kon,2006,9.0,569859
七宗罪,大卫·芬奇 David Fincher,1995,8.8,1061411
唐伯虎点秋香,李力持 Lik-Chi Lee,1993,8.8,1224330
狩猎,托马斯·温特伯格 Thomas Vinterberg,2012,9.1,470455
幽灵公主,宫崎骏 Hayao Miyazaki,1997,8.9,669676
甜蜜蜜,陈可辛 Peter Chan,1996,8.9,673258
寄生虫,奉俊昊 Joon-ho Bong,2019,8.8,1548468
天书奇谭,王树忱 Shuchen Wang / 钱运达 Yunda Qian,1983(中国大陆) / 2021,9.2,335091
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan,2012,8.9,814398
超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,2014,8.8,1145637
7号房的礼物,李焕庆 Hwan-kyeong Lee,2013,8.9,622252
第六感,M·奈特·沙马兰 M. Night Shyamalan,1999,8.9,638088
茶馆,谢添 Tian Xie,1982(中国大陆),9.5,208971
爱在黎明破晓前,理查德·林克莱特 Richard Linklater,1995,8.8,801302
爱在日落黄昏时,理查德·林克莱特 Richard Linklater,2004,8.9,654159
被嫌弃的松子的一生,中岛哲也 Tetsuya Nakashima,2006,8.8,775527
哈利·波特与火焰杯,迈克·内威尔 Mike Newell,2005,8.8,802372
头脑特工队,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen,2015,8.8,806799
未麻的部屋,今敏 Satoshi Kon,1997,9.1,425859
重庆森林,王家卫 Kar Wai Wong,1994,8.8,923346
借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi,2010,8.9,628320
菊次郎的夏天,北野武 Takeshi Kitano,1999,8.9,674064
入殓师,泷田洋二郎 Yôjirô Takita,2008,8.9,743398
断背山,李安 Ang Lee,2005,8.8,783449
剪刀手爱德华,蒂姆·波顿 Tim Burton,1990,8.7,1121058
勇敢的心,梅尔·吉布森 Mel Gibson,1995,8.9,606025
时空恋旅人,理查德·柯蒂斯 Richard Curtis,2013,8.8,794024
